Sample_No,Site,Date,avg_n1,QDI_n1,avg_PMMoV,QDI_PMMoV
44179,MSD01,12/14/20,54.05234953,1,146499.5614,1
691,MSD02,12/16/20,82.19660771,1,442372.6904,1
694,MSD03,12/16/20,90.90302882,1,495415.2739,1
696,MSD04,12/16/20,73.47453996,1,304289.339,1
697,MSD05,12/16/20,122.465998,1,320824.4866,1
44180,MSD01,12/15/20,60.85385558,1,430996.288,1
44181,MSD01,12/16/20,45.25008933,1,208989.8944,1
44182,MSD01,12/17/20,34.59319686,1,147907.4258,1
771,MSD02,1/4/21,68.1828032,1,149731.2529,1
774,MSD03,1/4/21,72.57472773,1,123247.2946,1
776,MSD04,1/4/21,45.58560672,1,110146.9053,1
777,MSD05,1/4/21,50.07536512,1,85078.23989,1
44200,MSD01,1/4/21,30.96151064,1,57049.67696,1
787,MSD02,1/11/21,42.07847987,1,80159.65547,1
790,MSD03,1/11/21,74.42907548,1,115673.1255,1
792,MSD04,1/11/21,21.52252119,1,81767.80016,1
793,MSD05,1/11/21,61.4333065,1,286222.2486,1
44207,MSD01,1/11/21,103.5352991,1,288715.4439,1
803,MSD02,1/18/21,52.9592832,1,539107.6093,1
806,MSD03,1/18/21,65.52110141,1,1011731.828,1
808,MSD04,1/18/21,67.99243514,1,545380.1844,1
809,MSD05,1/18/21,45.13847853,1,720481.0361,1
44214,MSD01,1/18/21,46.42550765,1,330138.1234,1
819,MSD02,1/25/21,364.9084601,1,457354.9078,1
822,MSD03,1/25/21,198.4346616,1,425836.1504,1
824,MSD04,1/25/21,100.9062035,1,492258.9497,1
825,MSD05,1/25/21,226.5088702,1,314173.0955,1
44221,MSD01,1/25/21,218.7372145,1,452654.6756,1
835,MSD02,2/1/21,60.85859888,1,720990.5579,1
838,MSD03,2/1/21,78.41789195,1,938783.9002,1
840,MSD04,2/1/21,45.79025456,1,859032.0144,1
841,MSD05,2/1/21,73.42754957,1,1507723.316,1
44228,MSD01,2/1/21,36.28906385,1,700007.255,1
851,MSD02,2/8/21,61.94693865,1,196478.3996,1
854,MSD03,2/8/21,73.07655187,1,275555.4349,1
856,MSD04,2/8/21,28.83759091,1,115177.2688,1
857,MSD05,2/8/21,109.494895,1,140280.5631,1
44235,MSD01,2/8/21,40.60314252,1,153974.7343,1
867,MSD02,2/15/21,49.32723108,1,203270.9339,1
870,MSD03,2/15/21,49.59938511,1,273929.0274,1
872,MSD04,2/15/21,58.93684725,1,187369.1751,1
873,MSD05,2/15/21,28.90386285,1,163426.8131,1
44242,MSD01,2/15/21,15.5200232,1,112960.5604,1
882,MSD02,2/22/21,89.10814348,1,257097.4244,1
885,MSD03,2/22/21,52.56170481,1,242752.0338,1
887,MSD04,2/22/21,51.8093042,1,246628.4642,1
888,MSD05,2/22/21,46.74027823,1,281938.3585,1
44249,MSD01,2/22/21,32.33669869,1,248018.6341,1
897,MSD02,3/1/21,33.66085337,1,87408.02293,1
900,MSD03,3/1/21,6.44208439,88,111781.5953,1
902,MSD04,3/1/21,19.08645834,1,91599.80682,1
903,MSD05,3/1/21,25.55351113,1,118905.8692,1
44256,MSD01,3/1/21,32.50658848,1,99661.42734,1
912,MSD02,3/8/21,49.13332357,1,173659.3116,1
915,MSD03,3/8/21,91.7114617,1,348267.2188,1
917,MSD04,3/8/21,29.1207132,1,220346.5498,1
918,MSD05,3/8/21,24.89609629,1,63800.87206,1
