"","date","inc","inc.top","inc.bot","pop","time_point","week","group"
"98",2021-07-29,0.00171410566137101,0.00342820152092024,9.80182178759469e-09,295910,97,14,"d1"
"99",2021-07-30,0.00186018010684204,0.00372035097541935,9.23826473122583e-09,295910,98,14,"d1"
"100",2021-07-31,0.00201523329419791,0.00403045788352729,8.70486853199979e-09,295910,99,14,"d1"
"101",2021-08-01,0.00217914078398319,0.00435827336779582,8.20017054921262e-09,295910,100,14,"d1"
"102",2021-08-02,0.00235162714643149,0.0047032465700937,7.72276927918657e-09,295910,101,14,"d1"
"103",2021-08-03,0.00253224358523222,0.00506447989914206,7.2713223759905e-09,295910,102,15,"d1"
"104",2021-08-04,0.00272034634728228,0.00544068585001987,6.84454471277577e-09,295910,103,15,"d1"
"105",2021-08-05,0.00291507709641267,0.00583014775161885,6.44120648122528e-09,295910,104,15,"d1"
"106",2021-08-06,0.00311534664612893,0.00623068723212652,6.06013132752866e-09,295910,105,15,"d1"
"107",2021-08-07,0.00331982362449005,0.00663964154878558,5.70019452398403e-09,295910,106,15,"d1"
"108",2021-08-08,0.00352692975266674,0.00705385414501231,5.36032117583393e-09,295910,107,15,"d1"
"109",2021-08-09,0.00373484342348229,0.0074696818074801,5.03948446330705e-09,295910,108,15,"d1"
"110",2021-08-10,0.00394151313362724,0.00788302153055057,4.73670391908797e-09,295910,109,16,"d1"
"111",2021-08-11,0.00414468202484113,0.00828935959863852,4.45104374160076e-09,295910,110,16,"d1"
"112",2021-08-12,0.0043419243082624,0.00868384443491366,4.18161114458573e-09,295910,111,16,"d1"
"113",2021-08-13,0.00453069368355991,0.00906138343956509,3.92755474349053e-09,295910,112,16,"d1"
"114",2021-08-14,0.00470838304546431,0.00941676240286565,3.68806297919772e-09,295910,113,16,"d1"
"115",2021-08-15,0.0048723938473563,0.00974478423235003,3.46236257958175e-09,295910,114,16,"d1"
"116",2021-08-16,0.00502021254396912,0.0100404218382212,3.24971705933768e-09,295910,115,16,"d1"
"117",2021-08-17,0.00514949066365338,0.0102989782778815,3.04942525845701e-09,295910,116,17,"d1"
"118",2021-08-18,0.00525812437589648,0.010516245890973,2.86081991964897e-09,295910,117,17,"d1"
"119",2021-08-19,0.00534432902731698,0.0106886553713677,2.68326630492204e-09,295910,118,17,"d1"
"120",2021-08-20,0.00540670410120317,0.0108134056862455,2.51616085145323e-09,295910,119,17,"d1"
"121",2021-08-21,0.00559727218136183,0.0111945420037938,2.35892986678487e-09,295910,120,17,"d1"
"122",2021-08-22,0.00592753138241188,0.0118550605537955,2.21102826330151e-09,295910,121,17,"d1"
"123",2021-08-23,0.00623221779093721,0.0124644335099361,2.07193833185489e-09,295910,122,17,"d1"
"124",2021-08-24,0.00650309552455081,0.0130061891079331,1.94116855432375e-09,295910,123,18,"d1"
"125",2021-08-25,0.0067323418786175,0.0134646819389826,1.81825245481815e-09,295910,124,18,"d1"
"126",2021-08-26,0.00691301368546287,0.0138260256681783,1.70274748916569e-09,295910,125,18,"d1"
"127",2021-08-27,0.00703949490934728,0.0140789882244606,1.59423397224973e-09,295910,126,18,"d1"
"128",2021-08-28,0.00710787698439283,0.0142157524764716,1.49231404270794e-09,295910,127,18,"d1"
"129",2021-08-29,0.00711622746913679,0.0142324535416629,1.39661066444265e-09,295910,128,18,"d1"
"130",2021-08-30,0.00712449992344056,0.0142489985401144,1.3067666643436e-09,295910,129,18,"d1"
"131",2021-08-31,0.00726463416128748,0.0145292671001312,1.22244380557744e-09,295910,130,19,"d1"
"132",2021-09-01,0.00735315725414232,0.0147063133649627,1.14332189575803e-09,295910,131,19,"d1"
"133",2021-09-02,0.00738509888531266,0.0147701967015274,1.06909792927515e-09,295910,132,19,"d1"
"134",2021-09-03,0.00735995947707148,0.0147199179546577,9.9948526302922e-10,295910,133,19,"d1"
"135",2021-09-04,0.00727907232980969,0.0145581437254065,9.34212824792188e-10,295910,134,19,"d1"
"136",2021-09-05,0.00724682996234816,0.014493659051672,8.73024353393653e-10,295910,135,19,"d1"
"137",2021-09-06,0.00738312689268638,0.0147662529696951,8.15677669912663e-10,295910,136,19,"d1"
